Part Type,Old SKUs,Part Number,Price,,Inventory 10/22/25,Order 11/12/25,Total,,,,,Order 12/3/25,Total
HRPHDDAB8.5,,90-2079,,,47,,,"HEAVY DUTY HARP, DARK ANTIQUE BRASS, 8.5""",,,,,
HRPHDDAB9,,80-2177,,,13,,,"HEAVY DUTY HARP, DARK ANTIQUE BRASS, 9""",,,,,
HRPHDDAB9.5,,90-2080,,,17,,,"HEAVY DUTY HARP, DARK ANTIQUE BRASS, 9.5""",,,,,
HRPHDDAB10,,80-2152,1.26,1.26,3,,,"HEAVY DUTY HARP, DARK ANTIQUE BRASS, 10""",,,,,
HRPHDNK8,,90-2001,,,42,,,"HEAVY DUTY HARP, NICKEL, 8""",,,,,
HRPHDNK8.5,,90-2008,,,41,,,"HEAVY DUTY HARP, NICKEL, 8.5""",,,,,
HRPHDNK9,,90-2002,,,40,,,"HEAVY DUTY HARP, NICKEL, 9""",,,,,
HRPHDNK9.5,,90-2009,,,49,,,"HEAVY DUTY HARP, NICKEL, 9.5""",,,,,
HRPHDNK10,,90-2003,,,44,,,"HEAVY DUTY HARP, NICKEL, 10""",,,,,
,,,,,,,,,,,,,
Lock Nuts/Reducer,,,,,,,,,,,,,
,,,,,,,,,,,,,
LKNTHX916x18,,90-1636,,,388,,,,,,,,
LNKNRL18IP18,,90-1601,,,9,,,,,,,,
RED18x14-27F,,90-762,,,286,,,,,,,,
,,,,,,,,,,,,,
Nipples,,,,,,,,,,,,,
,,,,,,,,,,,,,
"0/5"" ",,90-5004,0.30,0.3,234,,,,,,,,
"1""",,90-5008,0.50,0.5,88,,,,,,,,
"2""",,90-5016,0.90,0.9,171,,,,,,,,
"3""",,90-5024,,,228,,,,,,,,
"4""",,90-5032,,,125,,,,,,,,
"5""",,90-5040,,,164,,,,,,,,
"6""",,90-5048,,,154,,,,,,,,
"7""",,90-5056,,,62,,,,,,,,
"8""",,90-5064,,,22,,,,,,,,
,,,,,,,,,,,,,
Plugs,,,,,,,,,,,,,
,,,,,,,,,,,,,
PN3HVRUBBK,,80-1688,3.54,3.54,0,100,354,,,,,,
PN3THERMOBK,,80-2412,2.10,2.1,14,50,105,,,,,,
PN3THERMOBN,,80-2426,2.10,2.1,0,50,105,,,,,,
PN3THERMOWH,,80-2413,2.10,2.1,9,50,105,,,,,,
,,,,,,,,,,,,,
Sockets,,,,,,,,,,,,,
,,,,,,,,,,,,,
SKASEPTBR,,80-2137,,,69,,,,,,,,
SKASEPTNK,,80-1754,1.50,1.5,11,,,,,,,,
SKASEPTPW,,80-2438,1.80,1.8,60,,,,,,,,
SKBKBK,,80-1111,0.96,0.75,9,100,96,,,,,,
SKBKRBK,,80-1072,,0.85,165,,,,,,,,
SKBKRWH,,80-2530,,,34,,,,,,,,
SKBPRBK,,,,,118,,,,,,,,
SKCANDBKBK,,80-1311,1.19,1.19,23,,,,,,,,
SKCANDBKRBK,,80-1095,1.26,1.26,12,,,,,,,,
SKCANDRING,,,,,100,,,,,,,,
SKCCBK,,80-2509,,,98,,,,,,,,
SKCCBR,,80-1052,,,22,,,,,,,,
SKCCBZ,,80-2445,,,10,,,,,,,,
SKCCNK,,80-1053,,,26,,,,,,,,
SKCDBK,,80-2479,11.94,11.94,19,,,,,,,,
SKCDBR,,80-1064,,7.50,30,,,,,,,,
SKCDBZ,,80-2327,13.14,8.00,11,20,262.8,,,,,,
SKCDNK,,80-1065,11.94,7.50,20,,,,,,,,
SKCDUBK,,80-2480,,,12,,,,,,,,
SKCDUBR,,80-1066,12.60,8.95,29,,,,,,,,
SKCDUBZ,,80-2422,13.80,13.8,5,20,276,,,,,,
SKCDUNK,,80-1067,12.60,8.95,13,,,,,,,,
SKCKBK,,80-2477,,,391,,,,,,,,
SKCKBR,,80-1054,,5.00,37,,,,,,,,
SKCKBZ,,80-2326,7.50,5.75,20,20,150,,,,,,
SKCKNK,,80-1055,6.90,5.00,0,50,345,,,,,,
SKCKUBK,,80-2478,8.10,8.1,16,,,,,,,,
SKCKUBR,,80-1056,,5.50,27,,,,,,,,
SKCKUBZ,,80-2423,7.50,7.5,15,10,75,,,,,,
SKCKUGNDBR,,80-2565,,,41,,,,,,,,
SKCKUGNDBZ,,80-2568,,,14,,,,,,,,
SKCKUGNDNK,,80-2566,,,24,,,,,,,,
SKCKUNK,,80-1057,,5.50,19,,,,,,,,
