"# Y = compatible, N = not compatible, ? = please confirm. Edit any cell. Prefilled from auto-derived rules — please verify every one.",,,,,,,,,,,,,,,,,,
Type,Component,SKU(s),Price,Attributes (from catalog),Colors / finishes,Shopify variantId,14g Pulley,16g Twisted,18g Twisted,20g Twisted,22g Twisted,2-cond 18g Pulley,3-cond 18g Pulley,16g 3-cond Pulley,18g SJT Heavy Duty,Overbraid 3-cond,Parallel,Notes / corrections
SOCKET,SOCKET: 4-PIECE with DIMMER SWITCH and UNO THREADS,SKCDUBR; SKCDUBK; SKCDUBZ; SKCDUNK,22,,"Finish: brass, black, dark antique brass, nickel",30066224627776,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,SOCKET: 4-PIECE with ON/OFF TURN KNOB,SKCOBR; SKCOBK; SKCOBZ; SKCONK,16,,"Finish: brass, black, dark antique brass, nickel",30066225152064,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,"SOCKET: PORCELAIN, KEYLESS, GROUNDED, 1/4 IPS",SKP1-4IPSGNDK,4,grounded,,30066225741888,N,N,N,N,N,N,N,Y,Y,N,N,
SOCKET,"SOCKET: FLUSH MOUNT PORCELAIN, SIGN RECEPTACLE STYLE",SKPFM,4,,,30066225807424,N,Y,Y,Y,Y,N,N,N,N,N,N,
SOCKET,"SOCKET: PORCELAIN, KEYLESS, GROUNDED",SKPGNDK,4,grounded,,30066225872960,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,"SOCKET: PORCELAIN, KEYLESS",SKPKBK; SKPKBN,5,,"Color: black, brown",30066226757696,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,SOCKET RING: SHADE SUPPORT RING for 4-PIECE SOCKET with UNO THREADS,SKRINGCBK; SKRINGCBR; SKRINGCBZ; SKRINGCNK,3,,"Finish: black, brass, dark antique brass, nickel",30066226921536,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,SOCKET: 3-PIECE with DIMMER SWITCH,SKSDBR; SKSDBK; SKSDNK,10.5,,"Finish: brass, black, nickel",30066227150912,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,"SOCKET: 3-PIECE, KEYLESS",SKSKBR; SKSKBK; SKSKNK,6,,"Finish: brass, black, nickel",30066228068416,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,SOCKET: 3-PIECE with ON/OFF TURN KNOB,SKSOBR; SKSOBK; SKSONK,8,,"Finish: brass, black, nickel",30066228265024,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,"SOCKET: 4-PIECE, KEYLESS",SKCKBR; SKCKBK; SKCKBZ; SKCKNK,12,,"Finish: brass, black, dark antique brass, nickel",30066643140672,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,"SOCKET: 4-PIECE, KEYLESS WITH UNO THREADS",SKCKUBR; SKCKUBK; SKCKUBZ; SKCKUNK,14,,"Finish: brass, black, dark antique brass, nickel",30066643796032,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,SOCKET RING: BLACK BAKELITE SHADE SUPPORT RING,SKRINGBKBK,1,,,30066647236672,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS,SKCOUBK; SKCOUBR; SKCOUBZ; SKCOUNK,18,,"Finish: black, brass, dark antique brass, nickel",30066677776448,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,"SOCKET: 4-PIECE, KEYLESS with UNO THREADS, GROUNDED",SKCKUGNDBR; SKCKUGNDBZ; SKCKUGNDNK,16,grounded,"Finish: brass, dark antique brass, nickel",30072050712640,N,N,N,N,N,N,Y,N,N,Y,N,
SOCKET,"SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS, GROUNDED",SKCOUGNDBR; SKCOUGNDBZ; SKCOUGNDNK,18,grounded,"Finish: brass, dark antique brass, nickel",30072086691904,N,N,N,N,N,N,Y,N,N,Y,N,
SOCKET,SOCKET: PORCELAIN DUPLEX,SKPDUPLEX,7.5,,,31328669237319,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,"SOCKET: 3-PIECE, KEYLESS, 1/4 IPS",SKSK1-4BR; SKSK1-4NK,6.75,,"Finish: brass, nickel",32035357753415,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,"SOCKET: BLACK BAKELITE, KEYLESS, CANDELABRA BASE, with Ring",SKCANDBKRBK,2.5,,,39257209077831,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
SOCKET,"SOCKET: BAKELITE, KEYLESS WITH SHADE SUPPORT RING, Long",SKBKRLBK; SKBKRLWH,4.75,,"Color: Black, White",39866035765319,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,
