Schedule E: Merchandise,,,,,,,,,,
Own/  Other,Type,No.,Item,Description,Year of Manufacture,Date of Purchase,Purchase Price Per Item,Cumulative Purchase Price,Estimated Market Value Per Item,Cumulative Estimated Market Value
own,Finished Goods or Products,0,W163CSBKXXF,30conductor 160gauge BLACK cotton OVERBRAID cord 0 BY THE FOOT,~last 3 years,,0.25,0,2.25,0
own,Finished Goods or Products,0,W163CSBKXXS,30conductor 160gauge BLACK cotton OVERBRAID cord 0 BY THE SPOOL,~last 3 years,,25.41,0,105,0
own,Finished Goods or Products,0,W163CSGNYLF,30CONDUCTOR 160GAUGE COTTON BUNGALOW CORD OVERBRAID WIRE,~last 3 years,,0.26,0,2.25,0
own,Finished Goods or Products,0,W163CSGNYLS,30CONDUCTOR 160GAUGE COTTON BUNGALOW CORD (TM) 0 1000foot spool,~last 3 years,,26.86,0,105,0
own,Finished Goods or Products,5309,W181CRBKXXF,single0conductor 180gauge BLACK COTTON wire 0 BY THE FOOT,~last 3 years,,0.04,212.36,0.75,"3,981.75"
own,Finished Goods or Products,24,W181CRBKXXS,single0conductor 180gauge BLACK COTTON wire 0 250 FOOT SPOOL,~last 3 years,,7.23,173.52,65,"1,560.00"
own,Finished Goods or Products,122,W181RRGDXXF,single0conductor 180gauge GOLD RAYON wire 0 BY THE FOOT,~last 3 years,,0.05,6.1,0.8,97.6
own,Finished Goods or Products,5,W181RRGDXXS,single0conductor 180gauge GOLD RAYON wire 0 100 FOOT SPOOL,~last 3 years,,5.23,26.15,40,200
own,Finished Goods or Products,51,W181RRSTXXF,single0conductor 180gauge SILVER RAYON wire 0 BY THE FOOT,~last 3 years,,0.07,3.57,0.8,40.8
own,Finished Goods or Products,2,W181RRSTXXS,single0conductor 180gauge SILVER RAYON wire 0 1000FOOT SPOOL,~last 3 years,,7.23,14.46,40,80
own,Finished Goods or Products,24,W182CFBKXXF,20CONDUCTOR 180GAUGE BLACK COTTON PARALLEL CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.12,2.88,1.2,28.8
own,Finished Goods or Products,0,W182CFBKXXS,20CONDUCTOR 180GAUGE BLACK COTTON PARALLEL CORD 0 UL0Listed 0 2500foot spool,~last 3 years,,22.3,0,120,0
own,Finished Goods or Products,81,W182CFBNXXF,20CONDUCTOR 180GAUGE LIGHT BROWN COTTON PARALLEL CORD 0 by the foot,~last 3 years,,0.09,7.29,1,81
own,Finished Goods or Products,0,W182CFBNXXS,20CONDUCTOR 180GAUGE LIGHT BROWN COTTON PARALLEL CORD 0 2500foot spool,~last 3 years,,22.36,0,120,0
own,Finished Goods or Products,48,W182CFBR2CF,20CONDUCTOR 180GAUGE BLACK & RED DOUBLE CROSS TRACER COTTON PARALLEL CORD 0 UL0Listed,~last 3 years,,0.11,5.28,1,48
own,Finished Goods or Products,1,W182CFBR2CS,20CONDUCTOR 180GAUGE BLACK & RED DOUBLE CROSS TRACER COTTON PARALLEL CORD 0 UL0Listed,~last 3 years,,22.36,22.36,120,120
own,Finished Goods or Products,51,W182CFBR3TF,20CONDUCTOR 180GAUGE BLACK & RED TRIPLE TRACER COTTON PARALLEL CORD 0 UL0Listed,~last 3 years,,0.12,6.12,1,51
own,Finished Goods or Products,2,W182CFBR3TS,This is an  180gauge cord in the parallel cord style where the conductors are covered in red cot...,~last 3 years,,23.5,47,120,240
own,Finished Goods or Products,60,W182CFBWSHF,20CONDUCTOR 180GAUGE BLACK & WHITE SMALL HOUND'S TOOTH COTTON PARALLEL CORD 0 UL0Listed 0 by the...,~last 3 years,,0.11,6.6,1,60
own,Finished Goods or Products,3,W182CFBWSHS,20CONDUCTOR 180GAUGE BLACK & WHITE SMALL HOUND'S TOOTH COTTON PARALLEL CORD 0 UL0Listed 0 2500fo...,~last 3 years,,23,69,120,360
own,Finished Goods or Products,38,W182CFBWZZF,20CONDUCTOR 180GAUGE BLACK & WHITE ZIG0ZAG COTTON PARALLEL CORD 0 by the foot,~last 3 years,,0.12,4.56,1,38
own,Finished Goods or Products,5,W182CFBWZZS,20CONDUCTOR 180GAUGE BLACK & WHITE ZIG0ZAG COTTON PARALLEL CORD 0 2500foot spool,~last 3 years,,19.5,97.5,120,600
own,Finished Goods or Products,25,W182CFDBXXF,20CONDUCTOR 180GAUGE DARK BROWN COTTON PARALLEL CORD 0 by the foot,~last 3 years,,0.09,2.25,1,25
own,Finished Goods or Products,0,W182CFDBXXS,20CONDUCTOR 180GAUGE DARK BROWN COTTON PARALLEL CORD 0 2500foot spool,~last 3 years,,23.67,0,120,0
own,Finished Goods or Products,31,W182CFDWZZF,20CONDUCTOR 180GAUGE DARK BROWN AND WHITE ZIG0ZAGCOTTON PARALLEL CORD 0 by the foot,~last 3 years,,0.1,3.1,1,31
own,Finished Goods or Products,0,W182CFDWZZS,20CONDUCTOR 180GAUGE DARK BROWN & WHITE ZIG0ZAG COTTON PARALLEL CORD 0 UL0Listed 0 2500foot spool,~last 3 years,,25.86,0,120,0
own,Finished Goods or Products,207,W182CFGDXXF,20CONDUCTOR 180GAUGE GOLD COTTON PARALLEL CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.11,22.77,1.2,248.4
own,Finished Goods or Products,0,W182CFGDXXS,20CONDUCTOR 180GAUGE GOLD COTTON PARALLEL CORD 0 UL0Listed 0 2500foot spool,~last 3 years,,28.21,0,120,0
own,Finished Goods or Products,0,W182CFGNXXF,20CONDUCTOR 180GAUGE GREEN COTTON PARALLEL CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.11,0,1.2,0
own,Finished Goods or Products,0,W182CFGNXXS,This is an  180gauge cord in the parallel cord style where the conductors are covered in green c...,~last 3 years,,28.21,0,120,0
own,Finished Goods or Products,9,W182CFGYXXF,20CONDUCTOR 180GAUGE GRAY COTTON PARALLEL CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.11,0.99,1.2,10.8
own,Finished Goods or Products,0,W182CFGYXXS,20CONDUCTOR 180GAUGE GRAY COTTON PARALLEL CORD 0 UL0Listed 0 2500foot spool,~last 3 years,,28.21,0,120,0
own,Finished Goods or Products,5,W182CFPTXXF,20CONDUCTOR 180GAUGE PUTTY COTTON PARALLEL CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.11,0.55,1.2,6
own,Finished Goods or Products,0,W182CFPTXXS,20CONDUCTOR 180GAUGE PUTTY COTTON PARALLEL CORD 0 UL0Listed 0 2500foot spool,~last 3 years,,28.21,0,120,0
own,Finished Goods or Products,435,W182CFRDXXF,20CONDUCTOR 180GAUGE RED COTTON PARALLEL CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.11,47.85,1.2,522
own,Finished Goods or Products,2,W182CFRDXXS,20CONDUCTOR 180GAUGE RED COTTON PARALLEL CORD 0 UL0Listed 0 2500foot spool,~last 3 years,,28.21,56.42,120,240
own,Finished Goods or Products,80,W182CFSBXXF,20CONDUCTOR 180GAUGE SLATE BLUE COTTON PARALLEL CORD 0 by the foot,~last 3 years,,0.08,6.4,1.2,96
own,Finished Goods or Products,3,W182CFSBXXS,20CONDUCTOR 180GAUGE BLACK COTTON PARALLEL CORD 0 UL0Listed 0 2500foot spool,~last 3 years,,20.86,62.58,120,360
own,Finished Goods or Products,216,W182CFSWLHF,20CONDUCTOR 180GAUGE SLATE BLUE AND WHITE LARGE HOUND'S TOOTH COTTON PARALLEL CORD 0 by the foot,~last 3 years,,0.11,23.76,1.2,259.2
own,Finished Goods or Products,5,W182CFSWLHS,20CONDUCTOR 180GAUGE SLATE BLUE & WHITE LARGE HOUND'S0TOOTH COTTON PARALLEL CORD 0 UL0Listed,~last 3 years,,28.36,141.8,120,600
own,Finished Goods or Products,0,W182CFSWZZF,20CONDUCTOR 180GAUGE SLATE BLUE COTTON PARALLEL CORD 0 by the foot,~last 3 years,,0.1,0,1.2,0
own,Finished Goods or Products,317,W182CFWHXXF,20CONDUCTOR 180GAUGE WHITE COTTON PARALLEL CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.1,31.7,1.2,380.4
own,Finished Goods or Products,2,W182CFWHXXS,20CONDUCTOR 180GAUGE WHITE COTTON PARALLEL CORD 0 UL0Listed 0 2500foot spool,~last 3 years,,28.36,56.72,120,240
own,Finished Goods or Products,127,W182CPBDSHF,20CONDUCTOR 180GAUGE BLACK & DARK BROWN SMALL HOUNDS0TOOTH COTTON PULLEY CORD 0 UL0Listed,~last 3 years,,0.15,19.05,1.15,146.05
own,Finished Goods or Products,2,W182CPBDSHS,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord with SV...",~last 3 years,,15.71,31.42,90,180
own,Finished Goods or Products,199,W182CPBDZZF,20CONDUCTOR 180GAUGE BLACK & DARK BROWN ZIG0ZAG COTTON PULLEY CORD 0 UL0Listed,~last 3 years,,0.15,29.85,1.15,228.85
own,Finished Goods or Products,4,W182CPBDZZS,20CONDUCTOR 180GAUGE BLACK & DARK BROWN ZIG0ZAG COTTON PULLEY CORD 0 UL0Listed,~last 3 years,,15.71,62.84,90,360
own,Finished Goods or Products,247,W182CPBKXXF,20CONDUCTOR 180GAUGE BLACK COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,37.05,1.45,358.15
own,Finished Goods or Products,33,W182CPBKXXS,20CONDUCTOR 180GAUGE BLACK COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,14.71,485.43,90,"2,970.00"
own,Finished Goods or Products,49,W182CPBNXXF,20CONDUCTOR 180GAUGE LIGHT BROWN COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,7.35,1.45,71.05
own,Finished Goods or Products,4,W182CPBNXXS,20CONDUCTOR 180GAUGE LIGHT BROWN COTTON PULLEY CORD 0 UL0Listed 0 by the 1000 foot spool,~last 3 years,,15.71,62.84,90,360
own,Finished Goods or Products,40,W182CPBOXXF,20CONDUCTOR 180GAUGE BURNT ORANGE COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.14,5.6,1.45,58
own,Finished Goods or Products,7,W182CPBOXXS,20CONDUCTOR 180GAUGE BURNT ORANGE COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,14.71,102.97,90,630
own,Finished Goods or Products,36,W182CPBPSHF,20CONDUCTOR 180GAUGE BLACK & PUTTY SMALL HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,5.4,1.45,52.2
own,Finished Goods or Products,6,W182CPBPSHS,20CONDUCTOR 180GAUGE BLACK & PUTTY SMALL HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 1000foot...,~last 3 years,,14.71,88.26,90,540
own,Finished Goods or Products,72,W182CPBPZZF,20CONDUCTOR 180GAUGE BLACK & PUTTY ZIG0ZAG COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,10.8,1.45,104.4
own,Finished Goods or Products,1,W182CPBPZZS,20CONDUCTOR 180GAUGE BLACK & PUTTY ZIG0ZAG COTTON PULLEY CORD 0 UL0Listed,~last 3 years,,15.71,15.71,90,90
own,Finished Goods or Products,125,W182CPBR1CF,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord, with S...",~last 3 years,,0.14,17.5,1.15,143.75
own,Finished Goods or Products,4,W182CPBR1CS,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord, with S...",~last 3 years,,14.86,59.44,90,360
own,Finished Goods or Products,46,W182CPBR1TF,20CONDUCTOR 180GAUGE BLACK & RED SINGLE TRACER COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.14,6.44,1.45,66.7
own,Finished Goods or Products,1,W182CPBR1TS,20CONDUCTOR 180GAUGE BLACK & RED SINGLE TRACER COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,14.71,14.71,90,90
own,Finished Goods or Products,20,W182CPBR2CF,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord, with S...",~last 3 years,,0.15,3,1.15,23
own,Finished Goods or Products,5,W182CPBR2CS,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord, with S...",~last 3 years,,15.86,79.3,90,450
own,Finished Goods or Products,64,W182CPBR2TF,20CONDUCTOR 180GAUGE BLACK & RED DOUBLE TRACER COTTON PULLEY CORD 0UL Listed0 by the foot,~last 3 years,,0.14,8.96,1.45,92.8
own,Finished Goods or Products,1,W182CPBR2TS,20CONDUCTOR 180GAUGE BLACK & RED DOUBLE TRACER COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,14.71,14.71,90,90
own,Finished Goods or Products,80,W182CPBR3TF,20CONDUCTOR 180GAUGE BLACK & RED TRIPLE TRACER COTTON PULLEY CORD 0 UL0Listed,~last 3 years,,0.15,12,1.2,96
own,Finished Goods or Products,7,W182CPBR3TS,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord with SV...",~last 3 years,,15.86,111.02,95,665
own,Finished Goods or Products,69,W182CPBR4TF,20CONDUCTOR 180GAUGE BLACK & RED QUADRUPLE TRACER COTTON PULLEY CORD 0 UL0Listed,~last 3 years,,0.15,10.35,1.15,79.35
own,Finished Goods or Products,2,W182CPBR4TS,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord, with S...",~last 3 years,,15.71,31.42,90,180
own,Finished Goods or Products,52,W182CPBW1CF,20CONDUCTOR 180GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,7.8,1.45,75.4
own,Finished Goods or Products,9,W182CPBW1CS,20CONDUCTOR 180GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON PULLEY CORD 0 UL0Listed 0 1000foot...,~last 3 years,,15.71,141.39,90,810
own,Finished Goods or Products,53,W182CPBW1TF,20CONDUCTOR 180GAUGE BLACK & WHITE SINGLE TRACER COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,7.95,1.45,76.85
own,Finished Goods or Products,4,W182CPBW1TS,20CONDUCTOR 180GAUGE BLACK & WHITE SINGLE TRACER COTTON PULLEY CORD 0 UL Listed 0 1000foot spool,~last 3 years,,14.71,58.84,90,360
own,Finished Goods or Products,119,W182CPBW2CF,20CONDUCTOR 180GAUGE BLACK & WHITE DOUBLE CROSS TRACER COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,17.85,1.45,172.55
own,Finished Goods or Products,8,W182CPBW2CS,20CONDUCTOR 180GAUGE BLACK & WHITE DOUBLE CROSS TRACER COTTON PULLEY CORD 0 UL0Listed 0 1000foot...,~last 3 years,,15.71,125.68,90,720
own,Finished Goods or Products,119,W182CPBW2TF,20CONDUCTOR 180GAUGE BLACK & WHITE DOUBLE TRACER COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,17.85,1.45,172.55
own,Finished Goods or Products,2,W182CPBW2TS,20CONDUCTOR 180GAUGE BLACK & WHITE DOUBLE TRACER COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,14.71,29.42,90,180
own,Finished Goods or Products,58,W182CPBW3TF,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord, with S...",~last 3 years,,0.15,8.7,1.15,66.7
own,Finished Goods or Products,3,W182CPBW3TS,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord, with S...",~last 3 years,,15.71,47.13,90,270
own,Finished Goods or Products,36,W182CPBW4TF,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord, with S...",~last 3 years,,0.15,5.4,1.15,41.4
own,Finished Goods or Products,2,W182CPBW4TS,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord, with S...",~last 3 years,,15.71,31.42,90,180
own,Finished Goods or Products,59,W182CPBWLHF,20CONDUCTOR 180GAUGE BLACK & WHITE LARGE HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,8.85,1.45,85.55
own,Finished Goods or Products,7,W182CPBWLHS,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord with SV...",~last 3 years,,15.71,109.97,90,630
own,Finished Goods or Products,34,W182CPBWSHF,20CONDUCTOR 180GAUGE BLACK & WHITE SMALL HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,5.1,1.45,49.3
own,Finished Goods or Products,5,W182CPBWSHS,20CONDUCTOR 180GAUGE BLACK & WHITE SMALL HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 1000foot...,~last 3 years,,15.71,78.55,90,450
own,Finished Goods or Products,80,W182CPBWZZF,20CONDUCTOR 180GAUGE BLACK & WHITE ZIG0ZAG COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.13,10.4,1.45,116
own,Finished Goods or Products,15,W182CPBWZZS,20CONDUCTOR 180GAUGE BLACK & WHITE ZIG0ZAG COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,13.71,205.65,90,"1,350.00"
own,Finished Goods or Products,127,W182CPDBXXF,20CONDUCTOR 180GAUGE DARK BROWN COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,19.05,1.45,184.15
own,Finished Goods or Products,2,W182CPDBXXS,20CONDUCTOR 180GAUGE DARK BROWN COTTON PULLEY CORD 0 UL0Listed 0 100 foot spool,~last 3 years,,15.71,31.42,90,180
own,Finished Goods or Products,13,W182CPDPSHF,20CONDUCTOR 180GAUGE DARK BROWN & PUTTY SMALL HOUNDS0TOOTH COTTON PULLEY CORD 0 UL0Listed,~last 3 years,,0.15,1.95,1.15,14.95
own,Finished Goods or Products,13,W182CPDPZZF,20CONDUCTOR 180GAUGE DARK BROWN & PUTTY ZIG0ZAG COTTON PULLEY CORD 0 UL0Listed,~last 3 years,,0.15,1.95,1.15,14.95
own,Finished Goods or Products,5,W182CPDPZZS,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord with SV...",~last 3 years,,15.71,78.55,90,450
own,Finished Goods or Products,85,W182CPDWLHF,20CONDUCTOR 180GAUGE DARK BROWN & WHITE LARGE HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 by ...,~last 3 years,,0.16,13.6,1.45,123.25
own,Finished Goods or Products,14,W182CPDWLHS,20CONDUCTOR 180GAUGE DARK BROWN & WHITE LARGE HOUND'S0TOOTH COTTON PULLEY CORD 0 UL Listed 01000...,~last 3 years,,15.71,219.94,90,"1,260.00"
own,Finished Goods or Products,54,W182CPDWSHF,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord with SV...",~last 3 years,,0.15,8.1,1.15,62.1
own,Finished Goods or Products,11,W182CPDWSHS,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord with SV...",~last 3 years,,15.71,172.81,90,990
own,Finished Goods or Products,38,W182CPDWZZF,20CONDUCTOR 180GAUGE DARK BROWN & WHITE ZIG0ZAG COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.13,4.94,1.45,55.1
own,Finished Goods or Products,10,W182CPDWZZS,20CONDUCTOR 180GAUGE DARK BROWN & WHITE ZIG0ZAG COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,13.71,137.1,90,900
own,Finished Goods or Products,45,W182CPGDXXF,20CONDUCTOR 180GAUGE GOLD COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,6.75,1.45,65.25
own,Finished Goods or Products,10,W182CPGDXXS,20CONDUCTOR 180GAUGE GOLD COTTON PULLEY CORD 0 UL0Listed 0 100 foot spool,~last 3 years,,15.71,157.1,90,900
own,Finished Goods or Products,92,W182CPGGZZF,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord, with S...",~last 3 years,,0.15,13.8,1.15,105.8
own,Finished Goods or Products,2,W182CPGGZZS,20CONDUCTOR 180GAUGE GOLD & GREEN ZIG0ZAG COTTON PULLEY CORD 0 UL0Listed,~last 3 years,,15.71,31.42,90,180
own,Finished Goods or Products,55,W182CPGNXXF,20CONDUCTOR 180GAUGE GREEN COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,8.25,1.45,79.75
own,Finished Goods or Products,5,W182CPGNXXS,20CONDUCTOR 180GAUGE GREEN COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,15.71,78.55,90,450
own,Finished Goods or Products,111,W182CPGYXXF,20CONDUCTOR 180GAUGE GRAY COTTON PULLEY CORD 0 UL0Listed,~last 3 years,,0.15,16.65,1.15,127.65
own,Finished Goods or Products,1,W182CPGYXXS,"This is a 20conductor, 180gauge cord in the pulley cord style. This wire is a round cord with SV...",~last 3 years,,15.71,15.71,90,90
own,Finished Goods or Products,45,W182CPLGXXF,20CONDUCTOR 180GAUGE LIME GREEN COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.14,6.3,1.45,65.25
own,Finished Goods or Products,5,W182CPLGXXS,20CONDUCTOR 180GAUGE LIME GREEN COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,14.71,73.55,90,450
own,Finished Goods or Products,63,W182CPPRLHF,20CONDUCTOR 180GAUGE RED & PUTTY LARGE HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.14,8.82,1.45,91.35
own,Finished Goods or Products,5,W182CPPRLHS,20CONDUCTOR 180GAUGE RED & PUTTY LARGE HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 1000foot s...,~last 3 years,,14.54,72.7,90,450
own,Finished Goods or Products,25,W182CPPRSHF,20CONDUCTOR 180GAUGE RED & PUTTY SMALL HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.16,4,1.45,36.25
own,Finished Goods or Products,3,W182CPPRSHS,20CONDUCTOR 180GAUGE RED & PUTTY SMALL HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 1000foot s...,~last 3 years,,15.71,47.13,90,270
own,Finished Goods or Products,164,W182CPPTXXF,20CONDUCTOR 180GAUGE PUTTY COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,24.6,1.45,237.8
own,Finished Goods or Products,3,W182CPPTXXS,20CONDUCTOR 180GAUGE PUTTY COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,15.71,47.13,90,270
own,Finished Goods or Products,299,W182CPRBXXF,20CONDUCTOR 180GAUGE RASPBERRY COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.14,41.86,1.45,433.55
own,Finished Goods or Products,3,W182CPRBXXS,20CONDUCTOR 180GAUGE RASPBERRY COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,14.71,44.13,90,270
own,Finished Goods or Products,94,W182CPRDXXF,20CONDUCTOR 180GAUGE RED COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.15,14.1,1.45,136.3
own,Finished Goods or Products,10,W182CPRDXXS,20CONDUCTOR 180GAUGE RED COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,15.71,157.1,90,900
own,Finished Goods or Products,34,W182CPRWZZF,20CONDUCTOR 180GAUGE RED & WHITE ZIG0ZAG COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.13,4.42,1.45,49.3
own,Finished Goods or Products,5,W182CPRWZZS,20CONDUCTOR 180GAUGE RED & WHITE ZIG0ZAG COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,15.71,78.55,90,450
own,Finished Goods or Products,58,W182CPSBXXF,20CONDUCTOR 180GAUGE SLATE BLUE COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.14,8.12,1.45,84.1
own,Finished Goods or Products,7,W182CPSBXXS,20CONDUCTOR 180GAUGE SLATE BLUE COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,14.17,99.19,90,630
own,Finished Goods or Products,89,W182CPSWLHF,20CONDUCTOR 180GAUGE SLATE BLUE & WHITE LARGE HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 by ...,~last 3 years,,0.16,14.24,1.45,129.05
own,Finished Goods or Products,1,W182CPSWLHS,20CONDUCTOR 180GAUGE SLATE BLUE & WHITE LARGE HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 100...,~last 3 years,,15.71,15.71,90,90
own,Finished Goods or Products,26,W182CPSWSHF,20CONDUCTOR 180GAUGE SLATE BLUE & WHITE SMALL HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 by ...,~last 3 years,,0.15,3.9,1.45,37.7
own,Finished Goods or Products,1,W182CPSWSHS,20CONDUCTOR 180GAUGE SLATE BLUE & WHITE SMALL HOUND'S0TOOTH COTTON PULLEY CORD 0 UL0Listed 0 100...,~last 3 years,,15.71,15.71,90,90
own,Finished Goods or Products,56,W182CPTQXXF,20CONDUCTOR 180GAUGE TURQUOISE COTTON PULLEY CORD 0UL0Listed 0 by the foot,~last 3 years,,0.14,7.84,1.45,81.2
own,Finished Goods or Products,7,W182CPTQXXS,20CONDUCTOR 180GAUGE TURQUOISE COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,15.71,109.97,90,630
own,Finished Goods or Products,135,W182CPWHXXF,20CONDUCTOR 180GAUGE WHITE COTTON PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.17,22.95,1.45,195.75
own,Finished Goods or Products,4,W182CPWHXXS,20CONDUCTOR 180GAUGE WHITE COTTON PULLEY CORD 0 UL0Listed 0 1000foot spool,~last 3 years,,14.71,58.84,90,360
own,Finished Goods or Products,87,W182CTBGZZF,This is a 180gauge wire in the twisted pair style where each conductor is covered in a black and...,~last 3 years,,0.08,6.96,1.4,121.8
own,Finished Goods or Products,8,W182CTBGZZS,This is a 180gauge wire in the twisted pair style where each conductor is covered in a black and...,~last 3 years,,22.12,176.96,145,"1,160.00"
own,Finished Goods or Products,8,W182CTBKXXF,20conductor 180gauge BLACK twisted COTTON wire 0 BY THE FOOT,~last 3 years,,0.09,0.72,1.4,11.2
own,Finished Goods or Products,19,W182CTBKXXS,20conductor 180gauge BLACK twisted COTTON wire 0 BY THE SPOOL,~last 3 years,,24.77,470.63,145,"2,755.00"
own,Finished Goods or Products,0,W182CTBNXXF,20conductor 180gauge LIGHT BROWN twisted COTTON wire 0 BY THE FOOT,~last 3 years,,0.09,0,1.4,0
own,Finished Goods or Products,53,W182CTBNXXS,20conductor 180gauge LIGHT BROWN twisted COTTON wire 0 BY THE SPOOL,~last 3 years,,22,"1,166.00",145,"7,685.00"
own,Finished Goods or Products,60,W182CTBOXXF,20conductor 180gauge BURNT ORANGE twisted COTTON wire 0 BY THE FOOT,~last 3 years,,0.09,5.4,1.4,84
own,Finished Goods or Products,11,W182CTBOXXS,20conductor 180gauge BURNT ORANGE twisted COTTON wire 0 BY THE SPOOL,~last 3 years,,24.34,267.74,145,"1,595.00"
own,Finished Goods or Products,405,W182CTBPZZF,20CONDUCTOR 180GAUGE BLACK & PUTTY ZIG0ZAG COTTON TWISTED WIRE 0 by the foot,~last 3 years,,0.09,36.45,1.4,567
own,Finished Goods or Products,11,W182CTBPZZS,20CONDUCTOR 180GAUGE BLACK & PUTTY ZIG0ZAG COTTON TWISTED WIRE 0 2500foot spool,~last 3 years,,24.72,271.92,145,"1,595.00"
