Schedule E: Merchandise,,,,,,,,,,
Own/  Other,Type,No.,Item,Description,Year of Manufacture,Date of Purchase,Purchase Price Per Item,Cumulative Purchase Price,Estimated Market Value Per Item,Cumulative Estimated Market Value
own,Materials or Supplies,130,SPF10.5T4B3.5A.75WH,"10 1/2 x 4 x 3 1/2 WHITE Plastic 3/4"" Arbor Hole",year purchased?,~last 3 years,0,0,,0
own,Materials or Supplies,100,SPF10.5T6B3.5A.75BK,"10 1/2 x 6 x 3 1/2 BLACK Plastic 3/4"" Arbor Hole",year purchased?,~last 3 years,1.72,172,,0
own,Materials or Supplies,130,SPF10.5T6B3.5A.75WH,"10 1/2 x 6 x 3 1/2 WHITE Plastic 3/4"" Arbor Hole",year purchased?,~last 3 years,2.22,288.6,,0
own,Materials or Supplies,109,SPF16B16.25x7SYP,"16 x 7 x 16 1/4 SYP 1.75"" Arbor Hole  Flange: 16” OD x ½” thick Southern Yellow Pine  Barrel: 7”...",year purchased?,~last 3 years,8.85,964.65,,0
own,Materials or Supplies,0,SPF6.5T4.5B1.875A.75BK,"6 1/2 x 4 1/2 x 1 7/8 BLACK Plastic 3/4"" Arbor Hole",year purchased?,~last 3 years,1.23,0,,0
own,Materials or Supplies,400,SPF6.5T4.5B1.875A.75WH,"6 1/2 x 4 1/2 x 1 7/8 WHITE Plastic 3/4"" Arbor Hole",year purchased?,~last 3 years,1.39,556,,0
,,,,,,,,,,
,,,Strain Reliefs,,,,,,,
own,Finished Goods or Products,234,STRCOLLBK,BG520BL  BLACK POWDERCOAT 1/8ips MALE STRAIN RELIEF WITH NYLON SET SCREW,year purchased?,~last 3 years,0.74,173.16,2.5,585
own,Finished Goods or Products,187,STRCOLLBR,BG520PL POLISHED BRASS 1/8ips MALE STRAIN RELIEF WITH NYLON SET SCREW.,year purchased?,~last 3 years,0.74,138.38,2.5,467.5
own,Finished Goods or Products,516,STRCOLLBZ,BG520BZ  ANTIQUE FINISH BRONZE 1/8ips MALE STRAIN RELIEF WITH NYLON SET SCREW.,year purchased?,~last 3 years,0.74,381.84,2.5,"1,290.00"
own,Finished Goods or Products,154,STRCOLLNK,BG520  NICKEL 1/8ips MALE STRAIN RELIEF WITH NYLON SET SCREW.,year purchased?,~last 3 years,0.74,113.96,2.5,385
own,Finished Goods or Products,188,STRCOLSETSCR,SCBGM6BL  6mm NYLON SLOTTET SET SCREW BLACK,year purchased?,~last 3 years,0.03,5.64,0.1,18.8
own,Finished Goods or Products,204,STRMETALBK,"BG500BL BLACK POWDERCOATED STRAIN RELIEF WITH 1/8ips MALE, 5/16in. LONG THREAD.",year purchased?,~last 3 years,1.19,242.76,2.5,510
own,Finished Goods or Products,233,STRMETALBR,"BG500BR  BRASS STRAIN RELIEF W/ 1/8ips MALE, 5/16in. LONG THREAD.",year purchased?,~last 3 years,0.89,207.37,2.5,582.5
own,Finished Goods or Products,7,STRMETALBZ,"BG500BZ  ANTIQUE BRONZE STRAIN RELIEF WITH 1/8ips MALE, 5/16in. LONG THREAD.",year purchased?,~last 3 years,1.19,8.33,2.5,17.5
own,Finished Goods or Products,131,STRMETALNK,"BG500NP  POLISHED NICKEL STRAIN RELIEF W/ 1/8ips MALE, 5/16in. LONG THREAD",year purchased?,~last 3 years,1.18,154.58,2.5,327.5
own,Finished Goods or Products,120,STRPLASBK,"80/2339 BLACK STRAIN RELIEF W/ 1/8ips.    B&P: BG500BLK  BLACK STRAIN RELIEF W/ 1/8ips. MALE, 5/...",year purchased?,~last 3 years,0.18,21.6,2,240
own,Finished Goods or Products,140,STRPLASWH,BG500WHT WHITE STRAIN RELIEF CORD GRIP WITH 1/8ips. MALE 5/16in LONG THREAD.,year purchased?,~last 3 years,0.18,25.2,2,280
,,,,,,,,,,
,,,Switches,,,,,,,
own,Finished Goods or Products,32,SWDIMROTBK,30397 0 Black Hi0Low Inline Dimmer Switch for 18/2 SPT02 lamp cord  B&P 48442,year purchased?,~last 3 years,1.68,53.76,4,128
own,Finished Goods or Products,21,SWDIMROTBN,900821 0 Brown Hi0Low Inline Dimmer Switch for 18/2 SPT02 lamp cord    48441,year purchased?,~last 3 years,1.54,32.34,4,84
own,Finished Goods or Products,30,SWDIMROTIV,8002337 0 Ivory Hi0Low Inline Dimmer Switch for 18/2  SPT02 lamp cord    5500167042,year purchased?,~last 3 years,1.59,47.7,4,120
own,Finished Goods or Products,26,SWDIMROTWH,48440 0 White Hi0Low Inline Dimmer Switch for 18/2 SPT02 lamp cord,year purchased?,~last 3 years,1.39,36.14,4,104
own,Finished Goods or Products,9,SWFLRBK,"5500336050  30566 40122 0 On / Off Phenolic Push Button Floor Switch, 2 3/8"" dia., for SPT01 & S...",year purchased?,~last 3 years,2.41,21.69,8.25,74.25
