SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value,Vendor,Part Number,Cost Source
CANRIBKBK,ceiling-canopy-kit-ribbed,"CEILING CANOPY KIT, CONTEMPORARY",black,active,TRUE,Canopies,18,6.00,3.25,58.50,Satco,90-055,Est (price sheet DAB $3.25)
CANRIBKBR,ceiling-canopy-kit-ribbed,"CEILING CANOPY KIT, RIBBED",brass,active,TRUE,Canopies,19,6.00,3.25,61.75,Satco,90-052,Est (same product different finish)
CANRIBKBZ,ceiling-canopy-kit-ribbed,"CEILING CANOPY KIT, RIBBED",antique brass,active,TRUE,Canopies,75,6.00,3.25,243.75,Satco,90-1887,Price sheet 90-1887
CANRIBKNK,ceiling-canopy-kit-ribbed,"CEILING CANOPY KIT, RIBBED",nickel,active,TRUE,Canopies,15,6.00,3.25,48.75,Satco,90-1889,Est (same product different finish)
CANSMTHKBR,ceiling-canopy-kit-smooth,"CEILING CANOPY KIT, SMOOTH",brass,active,TRUE,Canopies,10,6.00,3.25,32.50,Satco,90-1927,Est (same product different finish)
CANSMTHKBZ,ceiling-canopy-kit-smooth,"CEILING CANOPY KIT, SMOOTH",antique brass,active,TRUE,Canopies,18,6.00,3.25,58.50,Satco,90-1891,PO 1011 90-1891
CANSMTHKNK,ceiling-canopy-kit-smooth,"CEILING CANOPY KIT, SMOOTH",nickel,active,TRUE,Canopies,35,6.00,3.25,113.75,Satco,90-1893,Est (same product different finish)
CCLEAT-GF,porcelain-cleat-pair,"CEILING CANOPY KIT, SMOOTH",glazed,active,TRUE,Canopies,0,6.00,,,,,
CCLEAT-GG,porcelain-cleat-pair,"CEILING CANOPY KIT, SMOOTH",glazed,active,TRUE,Canopies,0,4.00,,,,,
CCLEAT-GNOS,porcelain-cleat-pair,"CEILING CANOPY KIT, SMOOTH",glazed,active,TRUE,Canopies,0,9.00,,,,,
CCLEAT-UF,porcelain-cleat-pair,"CEILING CANOPY KIT, SMOOTH",unglazed,active,TRUE,Canopies,0,6.00,,,,,
CCLEAT-UG,porcelain-cleat-pair,PORCELAIN CLEAT PAIR,unglazed,active,TRUE,Knob & Tube,0,4.00,,,,,
CCLEAT-UNOS,porcelain-cleat-pair,PORCELAIN CLEAT PAIR,unglazed,active,TRUE,Knob & Tube,0,9.00,,,,,
CKNOB-G1F,porcelain-knob,PORCELAIN CLEAT PAIR,clamp 1-wire glazed,active,TRUE,Knob & Tube,0,2.00,,,,,
CKNOB-G1G,porcelain-knob,PORCELAIN CLEAT PAIR,clamp 1-wire glazed,active,TRUE,Knob & Tube,0,3.00,,,,,
CKNOB-G1NOS,porcelain-knob,PORCELAIN CLEAT PAIR,clamp 1-wire glazed,active,TRUE,Knob & Tube,0,8.00,,,,,
CKNOB-GF,porcelain-knob,PORCELAIN CLEAT PAIR,clamp 2-wire glazed,active,TRUE,Knob & Tube,68,2.00,,,,,
CKNOB-GG,porcelain-knob,PORCELAIN CLEAT PAIR,clamp 2-wire glazed,active,TRUE,Knob & Tube,208,3.00,,,,,
CKNOB-GNOS,porcelain-knob,PORCELAIN CLEAT PAIR,clamp 2-wire glazed,active,TRUE,Knob & Tube,0,8.00,,,,,
CKNOB-GWLF,porcelain-knob,PORCELAIN CLEAT PAIR,wrap large glazed,active,TRUE,Knob & Tube,0,2.00,,,,,
CKNOB-GWLG,porcelain-knob,PORCELAIN CLEAT PAIR,wrap large glazed,active,TRUE,Knob & Tube,0,3.00,,,,,
