SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W182CPBNXXMNS,2-conductor-18-gauge-light-brown-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE LIGHT BROWN COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,19,40.00,17.46,331.74
W182CPBNXXS,2-conductor-18-gauge-light-brown-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE LIGHT BROWN COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,5,80.00,17.46,87.30
W182CPBOXXF,2-conductor-18-gauge-burnt-orange-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BURNT ORANGE COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,590,0.90,0.16,94.40
W182CPBOXXMNS,2-conductor-18-gauge-burnt-orange-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BURNT ORANGE COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot pool,active,TRUE,Wire,25,40.00,17.46,436.50
W182CPBOXXS,2-conductor-18-gauge-burnt-orange-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BURNT ORANGE COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,6,80.00,17.46,104.76
W182CPBPSHF,2-conductor-18-gauge-black-and-putty-small-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & PUTTY SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,57,0.90,0.16,9.12
W182CPBPSHS,2-conductor-18-gauge-black-and-putty-small-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & PUTTY SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,0,80.00,17.46,
W182CPBPZZF,2-conductor-18-gauge-black-and-putty-zig-zag-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & PUTTY ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,425,0.90,0.16,68.00
W182CPBPZZS,2-conductor-18-gauge-black-and-putty-zig-zag-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & PUTTY ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,4,80.00,17.46,69.84
W182CPBR1CF,2-conductor-18-gauge-black-and-red-single-cross-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,600,0.90,0.16,96.00
W182CPBR1CMNS,2-conductor-18-gauge-black-and-red-single-cross-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,8,80.00,17.46,139.68
W182CPBR1CS,2-conductor-18-gauge-black-and-red-single-cross-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,6,80.00,17.46,104.76
W182CPBR1TF,2-conductor-18-gauge-black-and-red-single-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE TRACER COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,24,0.90,0.16,3.84
W182CPBR1TMNS,2-conductor-18-gauge-black-and-red-single-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE TRACER COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,24,80.00,17.46,419.04
W182CPBR1TS,2-conductor-18-gauge-black-and-red-single-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE TRACER COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,0,80.00,17.46,
