,,,,,,,,,,,,,,
,SKU Legend,,,,,,,,,,,,,
,"W: wire,  nn: gauge,  n: number of conductors, C or R: cotton or rayon braid, 1 letter: style of wire, 2 letters: color #1, 2 letters: color #2 or XX if there isn't a second color, S or F or L: S is normal-sized  spool for the wire, F is by the foot, L is 50-foot spool",,,,,,,,,,,,,
,So W182CTBKXXS is 18/2 cotton twisted black by the 250-foot spool,,,,,,,,,,,,,
,W[nn][n][C|R][x][xx][xx][S|F|L],,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,wire type,wire 2 type,yarn type,yarn/100 ft,qty in feet,spool,wire/ft cost,yarn/ft cost,spool cost,gross cost,price,margin,spool discount
W182,18/2 TWISTED PAIR - Black Cotton,18/1 AWM 1015,18/1 AWM 1015 Stripe,"Cotton, Black",0.25,50,"6.5"" Black",$0.10950,$0.03858,$1.35,$8.75,$47.50,81.58%,36.67%
W182,18/2 TWISTED PAIR - Color Cotton,18/1 AWM 1015,18/1 AWM 1015 Stripe,"Cotton, Color",0.25,50,"6.5"" Black",$0.10950,$0.03946,$1.35,$8.80,$47.50,81.47%,36.67%
W182,18/2 TWISTED PAIR - Rayon,18/1 AWM 1015,18/1 AWM 1015 Stripe,"Rayon, 2 ends",0.25,50,"6.5"" Black",$0.10950,$0.07497,$1.35,$10.57,$47.50,77.75%,36.67%
W182,18/2 TWISTED PAIR - Black Cotton,18/1 AWM 1015,18/1 AWM 1015 Stripe,"Cotton, Black",0.25,250,"10.5"" Black",$0.10950,$0.03858,$2.75,$39.77,$175.00,77.27%,53.33%
W182,18/2 TWISTED PAIR - Color Cotton,18/1 AWM 1015,18/1 AWM 1015 Stripe,"Cotton, Color",0.25,250,"10.5"" Black",$0.10950,$0.03946,$2.75,$39.99,$175.00,77.15%,53.33%
W182,18/2 TWISTED PAIR - Rayon,18/1 AWM 1015,18/1 AWM 1015 Stripe,"Rayon, 2 ends",0.25,250,"10.5"" Black",$0.10950,$0.07497,$2.75,$48.87,$175.00,72.07%,53.33%
,,,,,,,,,,,,,,
W182,18/2 PARALLEL CORD - UL - SPT-1 - Cotton,18/2 SPT-1,,"Cotton, Color",0.25,1,,$0.13015,$0.03946,,$0.17,$120.00,99.86%,
W182,18/2 PARALLEL CORD - UL - SPT-1 - Cotton,18/2 SPT-1,,"Rayon, 2 ends",0.2,1,,$0.13015,$0.05998,,$0.19,$120.00,99.84%,
W182,18/2 PARALLEL CORD - UL - SPT-1 - Cotton,18/2 SPT-1,,"Cotton, Color",0.25,250,"6.5"" Black",$0.13015,$0.03946,$1.35,$43.75,$120.00,63.54%,
