SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W183CPGGZZF,3-conductor-18-gauge-gold-and-green-zig-zag-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE GOLD & GREEN ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,0,1.0,0.32,
W183CPGGZZS,3-conductor-18-gauge-gold-and-green-zig-zag-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE GOLD & GREEN ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,0,89.0,33.25,
W183CPGNXXF,3-conductor-18-gauge-green-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE GREEN COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,75,1.0,0.32,24.0
W183CPGNXXS,3-conductor-18-gauge-green-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE GREEN COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,0,89.0,33.25,
W183CPGYXXF,3-conductor-18-gauge-gray-cotton-pulley-cord-ul-listed,3-CONDUCTOR 18-GAUGE GRAY COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,125,1.0,0.32,40.0
W183CPGYXXS,3-conductor-18-gauge-gray-cotton-pulley-cord-ul-listed,3-CONDUCTOR 18-GAUGE GRAY COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,1,89.0,33.25,33.25
W183CPLGXXF,3-conductor-18-gauge-lime-green-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE LIME GREEN COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,350,1.0,0.32,112.0
W183CPLGXXMNS,3-conductor-18-gauge-lime-green-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE LIME GREEN COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,7,89.0,33.25,232.75
W183CPLGXXS,3-conductor-18-gauge-lime-green-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE LIME GREEN COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,3,89.0,33.25,99.75
W183CPPRLHF,3-conductor-18-gauge-red-and-putty-large-hounds-tooth-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RED & PUTTY LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,552,1.0,0.32,176.64
