Schedule E: Merchandise,,,,,,
Own/Other,Type,Description,Year of Manufacture,Year of purchase,Purchase price,Estimated market value
,,,,,,
,,"Knobs, Tubes, Cleats",,,,
own,Finished Goods or Products,"18x CANRIBKBK - CEILING CANOPY KIT, CONTEMPORARY (black)",,~last 3 years,58.50,108.00
own,Finished Goods or Products,"19x CANRIBKBR - CEILING CANOPY KIT, RIBBED (brass)",,~last 3 years,61.75,114.00
own,Finished Goods or Products,"75x CANRIBKBZ - CEILING CANOPY KIT, RIBBED (antique brass)",,~last 3 years,243.75,450.00
own,Finished Goods or Products,"15x CANRIBKNK - CEILING CANOPY KIT, RIBBED (nickel)",,~last 3 years,48.75,90.00
own,Finished Goods or Products,"10x CANSMTHKBR - CEILING CANOPY KIT, SMOOTH (brass)",,~last 3 years,32.50,60.00
own,Finished Goods or Products,"18x CANSMTHKBZ - CEILING CANOPY KIT, SMOOTH (antique brass)",,~last 3 years,58.50,108.00
own,Finished Goods or Products,"35x CANSMTHKNK - CEILING CANOPY KIT, SMOOTH (nickel)",,~last 3 years,113.75,210.00
,,  Subtotal: Canopies,,,763.75,1410.00
,,,,,,
,,Finials,,,,
own,Finished Goods or Products,"14x FINIALPYRAB - FINIAL: Large Pyramid Knob 1 1/4"" Height - 1/8 IP (antique brass)",,~last 3 years,,42.00
own,Finished Goods or Products,"3x FINIALPYRNK - FINIAL: Large Pyramid Knob 1 1/4"" Height - 1/8 IP (nickel)",,~last 3 years,,9.00
own,Finished Goods or Products,35x FINIALTHAB - FINIAL: TOP HAT STYLE - 1/4-27 IP (antique brass),,~last 3 years,18.90,22.75
own,Finished Goods or Products,43x FINIALTHBR - FINIAL: TOP HAT STYLE - 1/4-27 IP (brass),,~last 3 years,20.64,27.95
own,Finished Goods or Products,41x FINIALTHBZ - FINIAL: TOP HAT STYLE - 1/4-27 IP (dark antique brass),,~last 3 years,13.12,26.65
own,Finished Goods or Products,64x FINIALTHNK - FINIAL: TOP HAT STYLE - 1/4-27 IP (nickel),,~last 3 years,30.72,41.60
,,  Subtotal: Finials,,,83.38,169.95
,,,,,,
,,Harps,,,,
own,Finished Goods or Products,9x HRPHDBR8 - HEAVY DUTY HARP (brass),,~last 3 years,9.18,18.00
own,Finished Goods or Products,14x HRPHDBR8.5 - HEAVY DUTY HARP (brass),,~last 3 years,14.28,28.00
own,Finished Goods or Products,13x HRPHDBR9 - HEAVY DUTY HARP (brass),,~last 3 years,13.52,26.00
own,Finished Goods or Products,65x HRPHDBR9.5 - HEAVY DUTY HARP (brass),,~last 3 years,67.60,130.00
own,Finished Goods or Products,3x HRPHDDAB10 - HEAVY DUTY HARP (dark antique brass),,~last 3 years,3.78,6.00
own,Finished Goods or Products,3x HRPHDDAB8 - HEAVY DUTY HARP (dark antique brass),,~last 3 years,3.54,6.00
own,Finished Goods or Products,37x HRPHDDAB8.5 - HEAVY DUTY HARP (dark antique brass),,~last 3 years,43.66,74.00
own,Finished Goods or Products,11x HRPHDDAB9 - HEAVY DUTY HARP (dark antique brass),,~last 3 years,13.53,22.00
own,Finished Goods or Products,17x HRPHDDAB9.5 - HEAVY DUTY HARP (dark antique brass),,~last 3 years,20.91,34.00
own,Finished Goods or Products,44x HRPHDNK10 - HEAVY DUTY HARP (nickel),,~last 3 years,48.40,88.00
own,Finished Goods or Products,45x HRPHDNK8 - HEAVY DUTY HARP (nickel),,~last 3 years,45.90,90.00
own,Finished Goods or Products,39x HRPHDNK8.5 - HEAVY DUTY HARP (nickel),,~last 3 years,39.78,78.00
own,Finished Goods or Products,41x HRPHDNK9 - HEAVY DUTY HARP (nickel),,~last 3 years,42.64,82.00
own,Finished Goods or Products,48x HRPHDNK9.5 - HEAVY DUTY HARP (nickel),,~last 3 years,49.92,96.00
own,Finished Goods or Products,2x ISWFRDIMBK - SWITCH: Full Range Dimmer In-Line - INSTALLED (Black),,~last 3 years,,48.00
own,Finished Goods or Products,5x ISWFRDIMBN - SWITCH: Full Range Dimmer In-Line - INSTALLED (Brown),,~last 3 years,,120.00
own,Finished Goods or Products,5x ISWFRDIMWH - SWITCH: Full Range Dimmer In-Line - INSTALLED (White),,~last 3 years,,120.00
,,  Subtotal: Harps,,,416.64,1066.00
,,,,,,
,,Nipples,,,,
own,Finished Goods or Products,"230x NIPZINC.5IN - NIPPLE: Zinc-Plated, Threaded, 1/8 IPS (.5"")",,~last 3 years,6.90,23.00
own,Finished Goods or Products,"229x NIPZINC3IN - NIPPLE: Zinc-Plated, Threaded, 1/8 IPS (3"")",,~last 3 years,27.48,57.25
own,Finished Goods or Products,"126x NIPZINC4IN - NIPPLE: Zinc-Plated, Threaded, 1/8 IPS (4"")",,~last 3 years,17.64,37.80
own,Finished Goods or Products,"165x NIPZINC5IN - NIPPLE: Zinc-Plated, Threaded, 1/8 IPS (5"")",,~last 3 years,28.05,66.00
own,Finished Goods or Products,"154x NIPZINC6IN - NIPPLE: Zinc-Plated, Threaded, 1/8 IPS (6"")",,~last 3 years,30.80,77.00
own,Finished Goods or Products,"63x NIPZINC7IN - NIPPLE: Zinc-Plated, Threaded, 1/8 IPS (7"")",,~last 3 years,15.75,37.80
own,Finished Goods or Products,"19x NIPZINC8IN - NIPPLE: Zinc-Plated, Threaded, 1/8 IPS (8"")",,~last 3 years,4.94,13.30
,,  Subtotal: Nipples,,,131.56,312.15
,,,,,,
,,Plugs,,,,
own,Finished Goods or Products,"81x PCOVERBK - PLUG COVER, cardboard (Default Title)",,~last 3 years,32.40,60.75
own,Finished Goods or Products,"1x PIPITHD1.5BR - PIPE, Inside Threading, 1.5 Inch, Brass (Default Title)",,~last 3 years,,3.75
own,Finished Goods or Products,290x PN2ACNBK - ACORN Button PLUG (black),,~last 3 years,1055.60,1740.00
own,Finished Goods or Products,100x PN2ACNBN - ACORN Button PLUG (brown),,~last 3 years,364.00,600.00
own,Finished Goods or Products,48x PN2ACNWH - ACORN Button PLUG (white),,~last 3 years,174.72,288.00
own,Finished Goods or Products,"55x PN2ANFACBN - FACETED PLUG, WITH NECK (Brown)",,~last 3 years,,220.00
own,Finished Goods or Products,"86x PN2FEMRUBREC - FEMALE RUBBER RECTANGULAR CONNECTOR, Black (Default Title)",,~last 3 years,,301.00
own,Finished Goods or Products,33x PN2HVYSHBK - HEAVY DUTY SHALLOW PLUG WITH NECK (Default Title),,~last 3 years,74.25,181.50
own,Finished Goods or Products,71x PN2RECTBK - RECTANGULAR PLUG (black),,~last 3 years,228.62,177.50
own,Finished Goods or Products,372x PN2RECTBN - RECTANGULAR PLUG (brown),,~last 3 years,1197.84,930.00
own,Finished Goods or Products,38x PN2RECTWH - RECTANGULAR PLUG (white),,~last 3 years,133.00,95.00
own,Finished Goods or Products,414x PN2RIBBK - RIBBED Button PLUG (black),,~last 3 years,1506.96,2277.00
own,Finished Goods or Products,"29x PN2RIBNKBK - RIBBED ROUND PLUG, WITH NECK, Black (Default Title)",,~last 3 years,94.54,159.50
own,Finished Goods or Products,"97x PN2RNDNKBK - ROUND PLUG, WITH NECK, Black or Brown (Black)",,~last 3 years,187.21,242.50
own,Finished Goods or Products,"110x PN2RNDNKBN - ROUND PLUG, WITH NECK, Black or Brown (Brown)",,~last 3 years,212.30,275.00
own,Finished Goods or Products,1930x PN2RUBRECTBK - RUBBER RECTANGULAR PLUG (Black),,~last 3 years,5867.20,5790.00
own,Finished Goods or Products,991x PN2RUBRECTWH - RUBBER RECTANGULAR PLUG (White),,~last 3 years,3012.64,2973.00
own,Finished Goods or Products,"21x PN3FEMGNDBK - FEMALE GROUNDED CONNECTOR for 3-PRONG PLUG, Black (Default Title)",,~last 3 years,,157.50
own,Finished Goods or Products,"80x PN3HVRUBBK - 3 PRONG, HEAVY RUBBER PLUG, Black (Default Title)",,~last 3 years,283.20,520.00
own,Finished Goods or Products,"50x PN3THERMOBK - 3 PRONG, THERMOPLASTIC PLUG (black)",,~last 3 years,105.00,225.00
own,Finished Goods or Products,"52x PN3THERMOBN - 3 PRONG, THERMOPLASTIC PLUG (brown)",,~last 3 years,109.20,234.00
own,Finished Goods or Products,"51x PN3THERMOWH - 3 PRONG, THERMOPLASTIC PLUG (white)",,~last 3 years,107.10,229.50
own,Finished Goods or Products,180x RED18x14-27F - BRASS REDUCING BUSHING 1/8 IPS to 1/4 27 (Default Title),,~last 3 years,91.80,90.00
,,  Subtotal: Plugs,,,14837.58,17770.50
,,,,,,
,,Shade Holders,,,,
own,Finished Goods or Products,"43x SHHDUNOLGBK - SHADE HOLDER: Brass UNO Shade Holder, 3.25"" (black)",,~last 3 years,239.94,333.25
own,Finished Goods or Products,"6x SHHDUNOLGBR - SHADE HOLDER: Brass UNO Shade Holder, 3.25"" (brass)",,~last 3 years,33.48,46.50
own,Finished Goods or Products,"7x SHHDUNOLGBZ - SHADE HOLDER: Brass UNO Shade Holder, 3.25"" (antique brass)",,~last 3 years,39.06,54.25
