Schedule E: Merchandise,,,,,,
Own/Other,Type,Description,Year of Manufacture,Year of purchase,Purchase price,Estimated market value
,,,,,,
,,"Knobs, Tubes, Cleats",,,,
own,Finished Goods or Products,142x STRCOLLBR - STRAIN RELIEF: METAL COLLAR (brass),,~last 3 years,142.00,355.00
own,Finished Goods or Products,708x STRCOLLBZ - STRAIN RELIEF: METAL COLLAR (antique brass),,~last 3 years,502.68,1770.00
own,Finished Goods or Products,151x STRCOLLNK - STRAIN RELIEF: METAL COLLAR (nickel),,~last 3 years,113.25,377.50
own,Finished Goods or Products,207x STRMETALBK - STRAIN RELIEF: METAL SCREW TOP (black),,~last 3 years,273.24,517.50
own,Finished Goods or Products,949x STRMETALBR - STRAIN RELIEF: METAL SCREW TOP (brass),,~last 3 years,1319.11,2372.50
own,Finished Goods or Products,195x STRMETALBZ - STRAIN RELIEF: METAL SCREW TOP (antique brass),,~last 3 years,323.70,487.50
own,Finished Goods or Products,138x STRMETALNK - STRAIN RELIEF: METAL SCREW TOP (nickel),,~last 3 years,168.36,345.00
own,Finished Goods or Products,242x STRPLASBK - STRAIN RELIEF: PLASTIC SCREW TOP (black),,~last 3 years,,484.00
own,Finished Goods or Products,295x STRPLASWH - STRAIN RELIEF: PLASTIC SCREW TOP (white),,~last 3 years,,590.00
,,  Subtotal: Strain Reliefs,,,3113.24,12094.00
,,,,,,
,,Switches,,,,
own,Finished Goods or Products,3x ISWFLRBK - SWITCH: Push-Button Floor Switch - INSTALLED (black),,~last 3 years,,33.00
own,Finished Goods or Products,20x ISWFLRWBK - SWITCH: Wide Push-Button Floor Switch -INSTALLED (black),,~last 3 years,,220.00
own,Finished Goods or Products,20x ISWFLRWCL - SWITCH: Wide Push-Button Floor Switch -INSTALLED (clear),,~last 3 years,,220.00
own,Finished Goods or Products,12x ISWFLRWH - SWITCH: Push-Button Floor Switch - INSTALLED (white),,~last 3 years,,132.00
own,Finished Goods or Products,22x ISWLGBN - SWITCH: Large In-Line Rocker - INSTALLED (brown),,~last 3 years,,220.00
own,Finished Goods or Products,38x ISWLGIV - SWITCH: Large In-Line Rocker - INSTALLED (ivory),,~last 3 years,,380.00
own,Finished Goods or Products,20x ISWROTCLGD - SWITCH: Rotary In-Line - INSTALLED (clear gold),,~last 3 years,,100.00
own,Finished Goods or Products,18x ISWROTDIMBN - SWITCH: Rotary Dimmer In-Line - INSTALLED (brown),,~last 3 years,,126.00
own,Finished Goods or Products,9x ISWROTDIMIV - SWITCH: Rotary Dimmer In-Line - INSTALLED (ivory),,~last 3 years,,63.00
own,Finished Goods or Products,4x ISWROTWH - SWITCH: Rotary In-Line - INSTALLED (white),,~last 3 years,,20.00
own,Finished Goods or Products,29x ISWSLIMBK - SWITCH: Slim In-Line - INSTALLED (black),,~last 3 years,,145.00
own,Finished Goods or Products,36x ISWSLIMBN - SWITCH: Slim In-Line - INSTALLED (brown),,~last 3 years,,180.00
own,Finished Goods or Products,65x ISWSLIMCL - SWITCH: Slim In-Line - INSTALLED (clear),,~last 3 years,,325.00
own,Finished Goods or Products,20x ISWSLIMCLGD - SWITCH: Slim In-Line - INSTALLED (clear gold),,~last 3 years,,100.00
own,Finished Goods or Products,14x ISWVTGLGIV - SWITCH: Vintage Style Large In-Line Rocker - INSTALLED (ivory with brown rocker),,~last 3 years,,168.00
own,Finished Goods or Products,11x ISWVTGROTBN - SWITCH: Vintage Style Rotary In-Line - INSTALLED (brown),,~last 3 years,,57.75
own,Finished Goods or Products,32x ISWVTGROTWH - SWITCH: Vintage Style Rotary In-Line - INSTALLED (white),,~last 3 years,,168.00
own,Finished Goods or Products,21x SWFLRBK - SWITCH: Push-Button Floor Switch (black),,~last 3 years,80.43,173.25
own,Finished Goods or Products,22x SWFLRWBK - SWITCH: Wide Push-Button Floor Switch (black),,~last 3 years,49.28,176.00
own,Finished Goods or Products,20x SWFLRWCL - SWITCH: Wide Push-Button Floor Switch (clear),,~last 3 years,39.80,160.00
own,Finished Goods or Products,30x SWFLRWH - SWITCH: Wide Push-Button Floor Switch (white),,~last 3 years,139.20,247.50
own,Finished Goods or Products,8x SWFLRWWH - SWITCH: Wide Push-Button Floor Switch (white),,~last 3 years,19.68,64.00
own,Finished Goods or Products,4x SWFRDIMBK - SWITCH: Full Range Dimmer In-Line (Black),,~last 3 years,41.44,76.00
own,Finished Goods or Products,1x SWFRDIMBN - SWITCH: Full Range Dimmer In-Line (Brown),,~last 3 years,10.36,19.00
own,Finished Goods or Products,3x SWFRDIMWH - SWITCH: Full Range Dimmer In-Line (White),,~last 3 years,31.08,57.00
own,Finished Goods or Products,26x SWLGBN - SWITCH: Large In-Line Rocker (brown),,~last 3 years,89.96,182.00
own,Finished Goods or Products,7x SWLGIV - SWITCH: Large In-Line Rocker (ivory),,~last 3 years,29.12,49.00
own,Finished Goods or Products,30x SWROTBN - SWITCH: Rotary In-Line (brown),,~last 3 years,15.90,52.50
own,Finished Goods or Products,22x SWROTCL - SWITCH: Rotary In-Line (clear),,~last 3 years,11.66,38.50
own,Finished Goods or Products,13x SWROTCLGD - SWITCH: Rotary In-Line (clear gold),,~last 3 years,12.09,22.75
own,Finished Goods or Products,23x SWROTDIMBK - SWITCH: Rotary Dimmer In-Line (black),,~last 3 years,43.47,92.00
own,Finished Goods or Products,21x SWROTDIMBN - SWITCH: Rotary Dimmer In-Line (brown),,~last 3 years,37.80,84.00
own,Finished Goods or Products,17x SWROTDIMIV - SWITCH: Rotary Dimmer In-Line (ivory),,~last 3 years,42.84,68.00
own,Finished Goods or Products,18x SWROTDIMWH - SWITCH: Rotary Dimmer In-Line (white),,~last 3 years,34.56,72.00
own,Finished Goods or Products,13x SWROTWH - SWITCH: Rotary Dimmer In-Line (white),,~last 3 years,6.50,22.75
own,Finished Goods or Products,72x SWSLIMBK - SWITCH: Slim In-Line (black),,~last 3 years,45.36,126.00
own,Finished Goods or Products,51x SWSLIMBN - SWITCH: Slim In-Line (brown),,~last 3 years,38.76,89.25
own,Finished Goods or Products,26x SWSLIMCL - SWITCH: Slim In-Line (clear),,~last 3 years,22.88,45.50
own,Finished Goods or Products,47x SWSLIMWH - SWITCH: Slim In-Line (white),,~last 3 years,36.66,82.25
own,Finished Goods or Products,21x SWVTGLGBN - SWITCH: Vintage Style Large In-Line Rocker (brown with white rocker),,~last 3 years,130.41,189.00
own,Finished Goods or Products,29x SWVTGLGIV - SWITCH: Vintage Style Large In-Line Rocker (ivory with brown rocker),,~last 3 years,180.67,261.00
own,Finished Goods or Products,9x SWVTGROTWH - SWITCH: Vintage Style Rotary In-Line (white),,~last 3 years,13.14,22.50
own,Finished Goods or Products,47x SWVTGSLIMBK - SWITCH: Vintage Style Slim In-Line (black),,~last 3 years,,423.00
own,Finished Goods or Products,50x SWVTGSLIMWH - SWITCH: Vintage Style Slim In-Line (white),,~last 3 years,,450.00
own,Finished Goods or Products,40x TSIL12YDBK - SWITCH: Vintage Style Slim In-Line (black),,~last 3 years,,480.00
,,  Subtotal: Switches,,,1203.05,6482.50
,,,,,,
,,Tape,,,,
own,Finished Goods or Products,"19x TSIL12YDCLR - TAPE: 12-yard roll 1/4"" Self-Fusing Silicone Tape (clear)",,~last 3 years,,228.00
own,Finished Goods or Products,"1x VTGMIDCENTA4 - TAPE: 4 pieces, 1.5"" each, 1/4"" Self-Fusing Silicone Tape (All 4 Shades)",,~last 3 years,,600.00
own,Finished Goods or Products,"1x VTGMIDCENTC1 - TAPE: 4 pieces, 1.5"" each, 1/4"" Self-Fusing Silicone Tape (Cloud Swirl with Seeds)",,~last 3 years,,200.00
own,Finished Goods or Products,"1x VTGMIDCENTC2 - TAPE: 4 pieces, 1.5"" each, 1/4"" Self-Fusing Silicone Tape (Cloud Swirls)",,~last 3 years,,200.00
own,Finished Goods or Products,"1x VTGMIDCENTGS - TAPE: 4 pieces, 1.5"" each, 1/4"" Self-Fusing Silicone Tape (Golden Strands)",,~last 3 years,,200.00
,,  Subtotal: Tape,,,0.00,1428.00
,,,,,,
,,Lighting,,,,
own,Finished Goods or Products,1x VTGMIDCENTJP - Mid-Century Fiberglass Pendants (Jackson Pollock),,~last 3 years,,200.00
own,Finished Goods or Products,1x VTGPNDMEDALN - Vintage White Mid-Century Chandelier with Green & Turquoise Medallions (Default Title),,~last 3 years,,350.00
own,Finished Goods or Products,43x W121CRBK100S - Vintage White Mid-Century Chandelier with Green & Turquoise Medallions (By the 100-foot spool),,~last 3 years,4301.72,9675.00
own,Finished Goods or Products,4x W121CRBK250S - Vintage White Mid-Century Chandelier with Green & Turquoise Medallions (By the 250-foot spool),,~last 3 years,971.88,2100.00
own,Finished Goods or Products,4x W121CRBK500S - Vintage White Mid-Century Chandelier with Green & Turquoise Medallions (By the 500-foot spool),,~last 3 years,1924.72,3800.00
,,  Subtotal: Lighting,,,7198.32,16125.00
,,,,,,
,,Wire,,,,
own,Finished Goods or Products,3x N182CFBKXXS - 2-CONDUCTOR 18-GAUGE BLACK COTTON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,180.00
own,Finished Goods or Products,9x N182CFBNXXS - 2-CONDUCTOR 18-GAUGE LIGHT BROWN COTTON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,540.00
own,Finished Goods or Products,1x N182CFDBXXS - 2-CONDUCTOR 18-GAUGE DARK BROWN COTTON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,60.00
own,Finished Goods or Products,10x N182CFGDXXS - 2-CONDUCTOR 18-GAUGE GOLD COTTON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,600.00
own,Finished Goods or Products,5x N182CFGNXXS - 2-CONDUCTOR 18-GAUGE GREEN COTTON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,300.00
own,Finished Goods or Products,19x N182CFGYXXS - 2-CONDUCTOR 18-GAUGE GRAY COTTON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,1140.00
own,Finished Goods or Products,5x N182CFPTXXS - 2-CONDUCTOR 18-GAUGE PUTTY COTTON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,300.00
own,Finished Goods or Products,7x N182CFRDXXS - 2-CONDUCTOR 18-GAUGE RED COTTON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,420.00
own,Finished Goods or Products,3x N182CFSBXXS - 2-CONDUCTOR 18-GAUGE SLATE BLUE COTTON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,180.00
own,Finished Goods or Products,17x N182CFWHXXS - 2-CONDUCTOR 18-GAUGE WHITE COTTON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,1020.00
own,Finished Goods or Products,19x N182CPBNXXS - 2-CONDUCTOR 18-GAUGE LIGHT BROWN COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,855.00
own,Finished Goods or Products,26x N182CPBOXXS - 2-CONDUCTOR 18-GAUGE BURNT ORANGE COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,1001.00
own,Finished Goods or Products,8x N182CPBR1CS - 2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE CROSS TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,308.00
own,Finished Goods or Products,24x N182CPBR1TS - 2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,924.00
own,Finished Goods or Products,9x N182CPBR2CS - 2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE CROSS TRACER COTTON PULLEY CORD  - NON-UL (100-foot spool),,~last 3 years,,346.50
own,Finished Goods or Products,1x N182CPBR2TS - 2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,38.50
own,Finished Goods or Products,25x N182CPBR3TS - 2-CONDUCTOR 18-GAUGE BLACK & RED TRIPLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,962.50
own,Finished Goods or Products,10x N182CPBR4TS - 2-CONDUCTOR 18-GAUGE BLACK & RED QUADRUPLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,385.00
own,Finished Goods or Products,18x N182CPBW1CS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,693.00
own,Finished Goods or Products,13x N182CPBW1TS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,500.50
own,Finished Goods or Products,19x N182CPBW2CS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE CROSS TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,731.50
own,Finished Goods or Products,19x N182CPBW2TS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,731.50
own,Finished Goods or Products,20x N182CPBW3TS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE TRIPLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,770.00
own,Finished Goods or Products,21x N182CPBW4TS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE QUADRUPLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,808.50
own,Finished Goods or Products,16x N182CPBWLHS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,616.00
own,Finished Goods or Products,30x N182CPBWSHS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SMALL HOUND'S-TOOTH  COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,1155.00
own,Finished Goods or Products,8x N182CPDWLHS - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,308.00
own,Finished Goods or Products,9x N182CPDWSHS - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,346.50
own,Finished Goods or Products,28x N182CPDWZZS - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE ZIG-ZAG COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,1078.00
own,Finished Goods or Products,17x N182CPGDXXS - 2-CONDUCTOR 18-GAUGE GOLD COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,654.50
own,Finished Goods or Products,20x N182CPLGXXS - 2-CONDUCTOR 18-GAUGE LIME GREEN COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,770.00
own,Finished Goods or Products,12x N182CPPRLHS - 2-CONDUCTOR 18-GAUGE RED & PUTTY LARGE HOUND'S-TOOTH COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,462.00
own,Finished Goods or Products,4x N182CPPRSHS - 2-CONDUCTOR 18-GAUGE RED & PUTTY SMALL HOUND'S-TOOTH COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,154.00
own,Finished Goods or Products,19x N182CPRBXXS - 2-CONDUCTOR 18-GAUGE RASPBERRY COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,731.50
own,Finished Goods or Products,35x N182CPRWZZS - 2-CONDUCTOR 18-GAUGE RED & WHITE ZIG-ZAG COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,1347.50
own,Finished Goods or Products,4x N182CPSBXXS - 2-CONDUCTOR 18-GAUGE SLATE BLUE COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,154.00
own,Finished Goods or Products,38x N182CPSWLHS - 2-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,1463.00
own,Finished Goods or Products,19x N182CPSWSHS - 2-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,731.50
own,Finished Goods or Products,6x N182CPTQXXS - 2-CONDUCTOR 18-GAUGE TURQUOISE COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,231.00
own,Finished Goods or Products,4x N182RFBKXXS - 2-CONDUCTOR 18-GAUGE BLACK RAYON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,240.00
own,Finished Goods or Products,2x N182RFBNXXS - 2-CONDUCTOR 18-GAUGE BROWN RAYON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,120.00
own,Finished Goods or Products,4x N182RFGDXXS - 2-CONDUCTOR 18-GAUGE GOLD RAYON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,240.00
own,Finished Goods or Products,7x N182RFSTXXS - 2-CONDUCTOR 18-GAUGE SILVER RAYON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,420.00
own,Finished Goods or Products,5x N182RFWHXXS - 2-CONDUCTOR 18-GAUGE WHITE RAYON PARALLEL CORD - NON-UL (250-foot spool),,~last 3 years,,300.00
own,Finished Goods or Products,3x N182RPBKXXS - 2-CONDUCTOR 18-GAUGE BLACK RAYON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,115.50
own,Finished Goods or Products,5x N182RPPWXXS - 2-CONDUCTOR 18-GAUGE PEWTER RAYON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,192.50
own,Finished Goods or Products,15x N182RPSTXXS - 2-CONDUCTOR 18-GAUGE SILVER RAYON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,577.50
own,Finished Goods or Products,18x N182RPWHXXS - 2-CONDUCTOR 18-GAUGE WHITE RAYON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,693.00
own,Finished Goods or Products,14x N183CPBNXXS - 3-CONDUCTOR 18-GAUGE LIGHT BROWN COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,560.00
own,Finished Goods or Products,8x N183CPBR1CS - 3-CONDUCTOR 18-GAUGE BLACK & RED SINGLE CROSS TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,320.00
own,Finished Goods or Products,11x N183CPBR2CS - 3-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE CROSS TRACER COTTON PULLEY CORD  - NON-UL (100-foot spool),,~last 3 years,,440.00
own,Finished Goods or Products,9x N183CPBR2TS - 3-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,360.00
own,Finished Goods or Products,13x N183CPBR3TS - 3-CONDUCTOR 18-GAUGE BLACK & RED TRIPLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,520.00
own,Finished Goods or Products,7x N183CPBR4TS - 3-CONDUCTOR 18-GAUGE BLACK & RED QUADRUPLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,280.00
own,Finished Goods or Products,14x N183CPBW1CS - 3-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,560.00
own,Finished Goods or Products,19x N183CPBW2CS - 3-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE CROSS TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,760.00
own,Finished Goods or Products,13x N183CPBW2TS - 3-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,520.00
own,Finished Goods or Products,30x N183CPBW3TS - 3-CONDUCTOR 18-GAUGE BLACK & WHITE TRIPLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,1200.00
own,Finished Goods or Products,18x N183CPBW4TS - 3-CONDUCTOR 18-GAUGE BLACK & WHITE QUADRUPLE TRACER COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,720.00
own,Finished Goods or Products,32x N183CPBWLHS - 3-CONDUCTOR 18-GAUGE BLACK & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,1280.00
own,Finished Goods or Products,13x N183CPBWSHS - 3-CONDUCTOR 18-GAUGE BLACK & WHITE SMALL HOUND'S-TOOTH  COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,520.00
own,Finished Goods or Products,10x N183CPBWZZS - 3-CONDUCTOR 18-GAUGE BLACK & WHITE ZIG-ZAG COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,400.00
own,Finished Goods or Products,13x N183CPDWLHS - 3-CONDUCTOR 18-GAUGE DARK BROWN & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,520.00
own,Finished Goods or Products,10x N183CPDWSHS - 3-CONDUCTOR 18-GAUGE DARK BROWN & WHITE SMALL HOUND'S-TOOTH  COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,400.00
own,Finished Goods or Products,14x N183CPDWZZS - 3-CONDUCTOR 18-GAUGE DARK BROWN & WHITE ZIG-ZAG COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,560.00
own,Finished Goods or Products,7x N183CPGDXXS - 3-CONDUCTOR 18-GAUGE GOLD COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,280.00
own,Finished Goods or Products,7x N183CPLGXXS - 3-CONDUCTOR 18-GAUGE LIME GREEN COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,280.00
own,Finished Goods or Products,12x N183CPPRLHS - 3-CONDUCTOR 18-GAUGE RED & PUTTY LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,480.00
own,Finished Goods or Products,13x N183CPPRSHS - 3-CONDUCTOR 18-GAUGE RED & PUTTY SMALL HOUND'S-TOOTH  COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,520.00
own,Finished Goods or Products,19x N183CPRBXXS - 3-CONDUCTOR 18-GAUGE RASPBERRY COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,760.00
own,Finished Goods or Products,16x N183CPRDXXS - 3-CONDUCTOR 18-GAUGE RED COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,640.00
own,Finished Goods or Products,6x N183CPRWZZS - 3-CONDUCTOR 18-GAUGE RED & WHITE ZIG-ZAG COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,240.00
own,Finished Goods or Products,14x N183CPSWLHS - 3-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,560.00
own,Finished Goods or Products,33x N183CPSWSHS - 3-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,1320.00
own,Finished Goods or Products,7x N183CPTQXXS - 3-CONDUCTOR 18-GAUGE TURQUOISE COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,280.00
own,Finished Goods or Products,13x N183CPWHXXS - 3-CONDUCTOR 18-GAUGE WHITE COTTON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,520.00
own,Finished Goods or Products,23x N183RPGDXXS - 3-CONDUCTOR 18-GAUGE GOLD RAYON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,977.50
own,Finished Goods or Products,9x N183RPPWXXS - 3-CONDUCTOR 18-GAUGE PEWTER RAYON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,382.50
own,Finished Goods or Products,14x N183RPSTXXS - 3-CONDUCTOR 18-GAUGE SILVER RAYON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,595.00
own,Finished Goods or Products,23x N183RPWHXXS - 3-CONDUCTOR 18-GAUGE WHITE RAYON PULLEY CORD - NON-UL (100-foot spool),,~last 3 years,,977.50
own,Finished Goods or Products,4930x W121CRBKXXF - SINGLE CONDUCTOR 12-GAUGE BLACK KNOB & TUBE WIRE (By the foot),,~last 3 years,4683.50,12325.00
own,Finished Goods or Products,20x W143CPBKXXF - 3-CONDUCTOR 14-GAUGE BLACK COTTON PULLEY CORD (By the foot),,~last 3 years,7.40,65.00
own,Finished Goods or Products,2x W143CPDBXXF - 3-CONDUCTOR 14-GAUGE DARK BROWN COTTON PULLEY CORD (By the foot),,~last 3 years,0.74,6.50
own,Finished Goods or Products,4931x W143RPPWXXF - 3-CONDUCTOR 14-GAUGE PEWTER RAYON PULLEY CORD (By the foot),,~last 3 years,2071.02,16025.75
own,Finished Goods or Products,2x W143RPPWXXS - 3-CONDUCTOR 14-GAUGE PEWTER RAYON PULLEY CORD (By the 100-foot spool),,~last 3 years,86.56,300.00
own,Finished Goods or Products,50x W162CTGGZZF - 2-CONDUCTOR 16-GAUGE PUTTY COTTON TWISTED WIRE WITH GOLD TRACER (By the foot),,~last 3 years,11.00,85.00
own,Finished Goods or Products,4x W162CTGGZZL - 2-CONDUCTOR 16-GAUGE PUTTY COTTON TWISTED WIRE WITH GOLD TRACER (By the 50-foot spool),,~last 3 years,48.44,340.00
own,Finished Goods or Products,1x W162CTGGZZS - 2-CONDUCTOR 16-GAUGE PUTTY COTTON TWISTED WIRE WITH GOLD TRACER (By the 250-foot spool),,~last 3 years,56.53,280.00
own,Finished Goods or Products,4742x W162CTPTGDF - 2-CONDUCTOR 16-GAUGE PUTTY COTTON TWISTED WIRE WITH GOLD TRACER (By the foot),,~last 3 years,1043.24,8061.40
own,Finished Goods or Products,9x W162CTPTGDL - 2-CONDUCTOR 16-GAUGE PUTTY COTTON TWISTED WIRE WITH GOLD TRACER (By the 50-foot spool),,~last 3 years,108.99,765.00
own,Finished Goods or Products,6x W162CTPTGDS - 2-CONDUCTOR 16-GAUGE PUTTY COTTON TWISTED WIRE WITH GOLD TRACER (By the 250-foot spool),,~last 3 years,339.18,1680.00
own,Finished Goods or Products,982x W163CJBKXXF - 3-CONDUCTOR 16-GAUGE BLACK COTTON HEAVY-DUTY PULLEY CORD - SJT-B UL-Listed (By the foot),,~last 3 years,363.34,1473.00
own,Finished Goods or Products,10x W163CJBKXXS - 3-CONDUCTOR 16-GAUGE BLACK COTTON HEAVY-DUTY PULLEY CORD - SJT-B UL-Listed (By the 100-foot spool),,~last 3 years,383.60,1200.00
own,Finished Goods or Products,41x W163CJBW1CS - 3-CONDUCTOR 16-GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON HEAVY-DUTY PULLEY CORD - UL SJT-B (By the 100-foot spool),,~last 3 years,1577.68,4920.00
own,Finished Goods or Products,8x W163CJBW1TS - 3-CONDUCTOR 16-GAUGE BLACK & WHITE SINGLE TRACER COTTON HEAVY-DUTY PULLEY CORD - SJT-B UL-Listed (By the 100-foot spool),,~last 3 years,307.84,960.00
own,Finished Goods or Products,1025x W163CJDBXXF - 3-CONDUCTOR 16-GAUGE DARK BROWN COTTON HEAVY-DUTY PULLEY CORD - SJT-B UL-Listed (By the foot),,~last 3 years,379.25,1537.50
own,Finished Goods or Products,10x W163CJDBXXS - 3-CONDUCTOR 16-GAUGE DARK BROWN COTTON HEAVY-DUTY PULLEY CORD - SJT-B UL-Listed (By the 100-foot spool),,~last 3 years,384.80,1200.00
own,Finished Goods or Products,4888x W163CSGNYLF - 3-CONDUCTOR 16-GAUGE COTTON BUNGALOW CORD OVERBRAID WIRE (By the foot),,~last 3 years,2492.88,10998.00
